title,company,url,text
Data Scientist Co-op 2019,Capital One,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CoaTL8xV3hMwGp3N7_JTupvLmE5lj1T8UTX15ED3FmPI-vLpxt9wadhZ4n_0jb7Xu5jV2TULx5aiWx8gTIhVZwscLXlEFXPprA06Y4bVI87IACbpDCUeXVtBhuqdqUV-cA8rBFMo3rwtFbPbPmWZsp2DPKmbPGhGC02F4ASzPK5bUXAvSvIexcdVnpGj2i7TfrTfqkulmZrfKtZhzN7wCdNc3ZmeaZGBA1IVJeAFaa2T-OM5ryAJ69KA_FOE-53kyvoYtmwAk99qweEUO2IWkhNZNAuczzG9WRcijcLpijUSSyKog0_iZu0B7NGNdn58nChOPRzHZmhDparPBmO7-4Q7nC5GJUtQ8Co-XpZMyLS5ZcVesM7xoU6aRNsoRVMc7W2AQSrfYnzNbQX3ukrf8uFsRgra-F44VTst9QzrugAkuZLqwv9oWrP9XMFm0RwuaeDgk8pGTqlRR2HR7NYH6JI3blXNAUnQXvf95baI2mC3Iz7gNBs70YW0nIzKmTf0GCVIpQeBOZO196BYUdGfl5uqLL-VDQcWZeyg7njoz_JeJf2mIBKxJIpo76_p9hDkolamRZ0JG8QPMDgm5Gi1zKln80b2HxyhvV29TzfAcWnD2u-NzFzfrr-L9oth4J3P8MY78j_61MlD7tNw0-90xN-TrTgNN7Vrqx50oCuiEWVV_9tBxFVx-KkK11OSihY79IfBXEmpDiC4Xy1OPkXuUfic0xpsCWlhT-zhTSw98NTZsVjHk-wqWK4Gz-smaPd0mGo-THRLF0IS0nidTP2CmSBdIVJ3JkgtvxnDS9aKkxaWoK-igLTMdfxUfyyYylXVuW32p9OeG3c04q7DP_bPmbNSsQRH8uzrmmbjMxYf39tQdjysMHeWq2Q45WqeLQN69Da5ytoeir6SMQvabP6GENXxok9kram0g_c31oONxdGgJaQMK8Lf34ybKwgghlluVLlweYXJnt86munL2aHbXrRmmY3mGMzCJfcPtT-Euq3g==&p=0&fvj=0&vjs=3," Using machine learning and other data mining techniques to get insights from massive datasets, such as identifying fraud rings    Understanding what problems create consumer calls through data mining interaction records    Analyzing online banking patterns    Mining vast amounts of data to identify trends in credit risk    Using a combination of quantitative analysis and statistical methods to develop strategic insights and recommendations to optimize products or programs    Adapting the latest technologies in modelling and data mining to design scientific tests that optimize dollars spent on new initiatives and marketing channels    Building statistical models to form the foundation of business decisions and regularly monitoring the performance of those models so corrective action can be taken    Currently enrolled in an Undergraduate or Masters program, graduating by 2020    Pursuing a degree in Mathematics, Statistics, Computer Science, Engineering or another quantitative discipline    Experience analyzing and manipulating large data sets using tools such as SQL or Python    Experience with statistical analysis and data mining using tools such as R, SAS, Matlab, Stata, or SPSS    Experience building and maintaining data pipelines    Experience in a Linux/Unix environment, with Git, AWS, or APIs    Excellent verbal and written communication skills"
Sr. Data Scientist,Precima,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D2uDwX8sqR0_LLIv6Lq8-VG7Zfi0sBA_v-J1V-j35lLIsmT6zbX8qHMwtMpIzNaC1qcddlAB-0YQ93fXkxqttsrrRAl3YjKCnSUYFLecQNVFdD2fxHLf5s2NWrftlfyq_nnmEVtC3AiRu7o-DhyT754qopxr8FZQT18tEkxEQoOHvEhHBjDve-w9TnXFBNkVjKDqUbAG6_GwK_o6PnUSgFNS9FBol_NaiG3gJb4CaLerDirLsUy-iIMSw4qn9YSMjkCFcocwZNyJ9sAZxqbIPmJfMqar5tNUWw1Bn5NPzjSeeR36dPb9wCV5vg0QhPpXVw6FQ45Fkg9Bu_Noqq1xMTo0wO4qKx457HqFo83RFcB8vSQNchQ2UaeYnNq3EJVEgXYivcyi1MlyEadAurBCkaAYVg0t4aVhY=&p=1&fvj=0&vjs=3," Master’s Degree in statistics, operations research, mathematics, economics, econometrics, engineering, or computer science    Experience in econometric modelling    B2B and retail industry experience;    Expert proficiency in developing original statistical and econometric models to support clients in B2B, Retail and CPG areas.    Expert proficiency in implementing models in #1 using Python or R.    Working knowledge of C++/C# and SQL. Collaborating & Teamwork    Inspiring & Motivating Others to High Performance    Championing Innovation & Change    Holding Others Accountable    Focusing on Customer    Driving for Results    Travel as required"
Data Scientist Co-op 2019 - KW,Capital One,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CoaTL8xV3hMwGp3N7_JTupvLmE5lj1T8UTX15ED3FmPI-vLpxt9wadhZ4n_0jb7XvlWpLkIk0b9AbexRw6lwmqZmYugQUw64WLcaOHtCx-8_i85AF51gz1ucPB0uHh9JvImuzoR4i19zUYsdy6h-fC7n_jziNiFU_81-fQKZOf-fSrtHaPjcJ5chm19toezwCbof_uhjcn8u9PWW1CbsDzRXBAQusWb6L3-rirR-dMec05lcQ882ivEulXCssY8yvqtlYgectTr3TLfjaAuz_Sc6bufDcN-fM-M9PHB97B0slcD15TG-sSpXK_UHeTMgA07jz7vmrVtiMfU-CvMFTnCjVEyOvJd5uOzvYq755i5lD3zELg3KlvFHxO-fRQXEHVzlwOK5n-EViykDejba-Sk_Rj9hh_tCV6vPPxqswEPh307wDvYIjB6hK_dF3hYIFndYW4m2SirYontnyx4mjhvBIy3TEa38x3GbvtGKMMQtgeFN1XSxgZaFxjkphQvjlPXsIj8KgQlg0N8fOyxDZYUq2EeuXrtjzziC95zIUFOIqycZoiIxlTXmnM0AxUQ0LvdIKPSy8o6XNaKZvTrxGEzFXCN81LC8FWjyK7fPFGNDOw9suPC02YqxUF33BXLo5ueSGFG4VHm5B2XCpYBFxRIfzoPTdj34rCpHaVsaWtNFQq241yF4-A48rcNLiPzflz0tm2YDtxjN89NTFOU0sANzTEwjbIIrZJm0UjT-CI9B6EJbXfFAlC13r2RRtYXwKh8FOtU5K27AgLh7i3vN3iNlUSJ2tog2A7hAbnK6NbhJ2QMwQY6XhyxSzlMZ19pWDZid-eQGW7JhXI8DYhsgOVIp5josZBm9nadC6p0xJFJ9ZMHtGbZ_nQt9Y8ZCHi2_cuS9Enx_mbJRmC14bNbEyGi7L4DBdEKGKPOuQlh4NAdfCRAxHCMm9Q7sDEgAkfq5WiItxFqEfqwqK6jAzGZ88JwlWeGjU7HFqEuxJmYWIAFA==&p=2&fvj=0&vjs=3," Using machine learning and other data mining techniques to get insights from massive datasets, such as identifying fraud rings    Understanding what problems create consumer calls through data mining interaction records    Analyzing online banking patterns    Mining vast amounts of data to identify trends in credit risk    Using a combination of quantitative analysis and statistical methods to develop strategic insights and recommendations to optimize products or programs    Adapting the latest technologies in modelling and data mining to design scientific tests that optimize dollars spent on new initiatives and marketing channels    Building statistical models to form the foundation of business decisions and regularly monitoring the performance of those models so corrective action can be taken    Currently enrolled in an Undergraduate or Masters program, graduating by 2020    Pursuing a degree in Mathematics, Statistics, Computer Science, Engineering or another quantitative discipline    Experience analyzing and manipulating large data sets using tools such as SQL or Python    Experience with statistical analysis and data mining using tools such as R, SAS, Matlab, Stata, or SPSS    Experience building and maintaining data pipelines    Experience in a Linux/Unix environment, with Git, AWS, or APIs    Excellent verbal and written communication skills"
Machine Learning Scientist,TD Bank,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B7zz2OmW4LKSX5pdXcoiPpS4pY9scnjwFl6mzk96G03P6LhjNQwgmljF8dvMS8-ILjYWEIFTRmdIdyqLXCgMF0xuGMmmwt94eUjEWl0ZZ3KLOrBygssV0rNw4l0siuuSkSilm-6TDCUUAuJtJAy5_3GHb0ScF8Xv6KVRragj70wfT1plB61j9hwhykyt4s3lRF4C_3D3uBoTANwG6hh99eGBB-Oj32zlvdjkCkNEQT96wQbSzHTJkqzsK741j0HAGadudJMkCbnJ-1adI0MW1Cq2j0Zg0DBDHxfVn-HPWvHINIQfem-KFHXhkhBO5dba3MfOtsab3sPelgz-DiJiw09qh-BzS04YR-hKUDtCaNiDyRT5f-X7xLOnXtjk_U-hAQCwW9mD1qqc1Ir8Pmjd4cbirtl7f3L4kkcuCZw8qUfzj4iPKRcAf2dNVcl_iEMlBK9KcsP5wQ5_ymhEYpw-KgMKjQkfVlgADr2z6orQBbkCFAj58Cs8LquZiV4rPk3P100hnJc89yQ8DFvUNEuOc5muUaWa9faMhCTxaJesEDwHMQ9Uord-QGbroS4wMeD7d-mB5Fewrb_qsobRpIfPR1&p=3&fvj=0&vjs=3," Join a world-class team of machine learning researchers with an extensive track record in both academia and industry.    Research, develop, and apply new techniques in the intersection of deep learning and personalization to further advance our industry leading product.    Work with diverse real-life datasets that range from banking transactions, to predictive health applications, to audio/video consumption.    Collaborate closely with the engineering team in a fast paced startup environment and see your research deployed in production with very short turnaround.    PhD degree in Computer Science, Statistics, Operations Research, Mathematics or related field.    Strong background in machine learning.    5+ years of research experience with publication record.    Proven track record of applying machine learning to solve real-world problems.    Experience with deep learning and/or collaborative filtering.    Hands on experience in software systems development and SaaS applications.    Experience with one or more Java, Matlab, Scala, Tensorflow and MXNet    Experience using GPUs for accelerated deep learning training    Familiarity with AWS    Entrepreneurial and inclusive culture    Excellent health coverage    Four weeks paid vacation    Catered lunches twice a week over machine learning talks    Opportunities to collaborate with faculty at the Vector Institute"
Principal Data Scientist - Solutions,Trust Science Inc.,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CC41AbWvv-HUsvcbr8L615YWFJyU2YJhEvxP_lTNMcLyjio7CmNkb1cAHTHZxF91JZPsrdlFRIE2c9IGo0J_6uhhMkRQD0xFty5CDD3JPW-1l7bzmZa7zi82TIx1sUpfB5j1AnNqYsenXk4vrOQe6KHYxg2IAVpYX418yOO_tOxKBraPfAQk19J1I4wqrj2FqCC50mArWDK1SJZgHVNJCta_lBjuNsO7SWBnooWj86fPhWU-hDXetqm5jjfJ07HcFzko1fG_VU8EItvrfQZeNYe9_eg434RVjWwgoiwYigF9tc8pdgKm6ZddufLFnm0Y8lwmqeGz-j44mLNkAnLoTCRRX5rGvtLjhevgjxeKwbo3gox_n5sO19Gye9fz8OkZNmQIKo6MNBuSz4t31_UaZTS1SfGxQ-4FGWju_rX473Fgk-jHL8RYojXogJeVOcnaGuUJQ_gyrbUw==&p=4&fvj=1&vjs=3,"Partner with Business Development teams to create and maintain a healthy, qualified demand pipeline   Work in close collaboration with Trust Science cross-functional teams to assess client/prospect opportunities   Lead opportunity discovery through analyses and workshops to generate solutions and identify levers of opportunity for data science   Provide industry points of view on functional areas to explore in reducing cognitive bias by applying data science techniques   Act as the single point of contact for prospects and clients during the pre-sales process, contracting, data discovery, solution design, solution deployment and ongoing customer adoption and success   Collaborate with a clients data science team during design and deployment, including project management and governance   Work closely with clients to ensure they are leveraging the Trust Science platform to its fullest and identify additional areas where data science can further assist in improving decision making processes across systems and business users   Prepare and maintain strategic account plan and white space opportunity for each client   Work with all internal teams to break down silos and problem solve for our clients   Connect clients to create Trust Science advisory teams   4+ years data science or analytics background   Hands-on experience building and implementing predictive models using machine learning algorithms in real-world financial institutions   Deep industry experience in Financial Services including Credit and Lending   Experience working with interdisciplinary and geographically distributed teams, including technologists and data scientists (or deeply quantitative professionals)   Experience with Python, Scala, R, SAS and other data science tools   Customer relationship exposure or experience at C-levels   Understanding of sales fundamentals   Flexibility and adaptability in a fast-paced, deadline driven environment   Excellent verbal and written communication and interpersonal skills; Proven flexibility to successfully connect and partner with multiple personalities and communication styles   Creative problem solving skills   Proven follow-up skills, independence and reliability   Flexible to travel   Bachelor degree required, graduate degree preferred   customer-facing: 4 years (Preferred)   data science or analytics: 4 years (Preferred)"
Data Scientist Co-op ( 4 Month Placement),FGF Brands,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BUz3MQWklI2FGA3PNrgcNa_fWVdrwgihUKa1cH_bwkycYIYA--YpV05JZ4ACnX5CH8Fl1pzS_h34FN9ncynfRsZ2hjrNaWGO0opFbpmWZFd8fsx79XAlz605kosSq4mJlcsyba1DQsmRl19y7XzGrXd7B-4ZX3TsvEmOZiRQ9Du0Gf7S_zZ1mHEaiSyXQwXgimzIviOveo1eXCB6e_b1nRvL4h_QqqbEBl1PUEaJTL4j0DJJPaQWShJu9EYxU3lyKFmkFpwtV9ohEI76wve7qTHizJIG-686OskytNUpUV7wLinum3ePoenPSD0BgbkfPl3om-5W_WNSjXD7BQxjGE_o77B4wCV2jJ2R8OuNhfMBgb222tfQ4XBEfZOHan_ukqq39u447IdujVpz9agV13AXpP83iU1Yia4ZQi6o_bRwchlVnRhahuFiM2Vy1Op88Fjiw4yXUSDl9cyZ-rwQrefPvlDOFppCtlssZX8AnXE2fbjmoRUeobjrxydr7u7-hOghAADPsOrM0rgu_mhjJXvwnyCH17du9pVKNPvWS1FCAzWiOy8XfDGSxoP4Y-TgA_tytEQRTb9GM6pjKGUTjwa5hKh-8XKqViEgQM-GZAX19AUakCY2EcUlOvzreb7laMsx9-Wr-UYQ==&p=5&fvj=0&vjs=3," Disruptive and a naan-traditional mindset    An inclusive and dynamic culture    Opportunity to be impactful    Working closely with Business Intelligence and analytics team to complete our resource library and technical information into action-focused documentation for the sales team    Analyze data to identify potential patterns and correlations    Help with data collection from various automated and manual process steps    Design KPI and Dashboard to meet business requirements    Provide training documents and SOP for business process steps    Collect, organize and cleanse marketing related data    Facilitate data entry into computer systems    Collaborate and facilitate data collection with merchandising teams across North America    Test new data collection systems    Provide software training for marketing team members    Support marketing team members on data related issues    Ensuring consistent language, style and formatting of documentation    Communicate any updated changes to appropriate team members    Participating in special projects as required    Map and define source and target system fields for Data Migration objects    Collect, organize, and cleanse SAP master data including materials, vendors, and customers    Closely work with IT and data migration team to prepare data mapping, execute the data migration process, and validate cleansed data    Communicate conversion issues to the internal team members.    3rd or 4th year student in Engineering, Mathematics or related study    Statistical background or Six Sigma Green Belt an asset    Strong, analytical, mathematics and engineering background an asset    Experience with BI reporting tools such as Power BI or Tableau and asset    Track record of researching and writing effective documentation in a business environment    Experience with basic computer skills in a Microsoft-based environment    Knowledge of Minitab program (statistical application) as asset    Understanding and comfort with technical/digital communication channels    Exceptional verbal and writing, editing and proofreading skills, and attention to detail – particularly with respect to document formatting    Strong analytical skills    Customer and Product Centricity –  You are always keeping our products front and center.    Flexibility, Agility, Adaptability –  You embrace speed, change and uncertainty.    Team Work and Collaboration –  You are a relationship builder.    Passion for Excellence  – You look for innovative solutions and challenges the status quo.    Drives Execution  – You are a risk taker!"
"Manager, Data Science",Precima,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D2uDwX8sqR0_LLIv6Lq8-VG7Zfi0sBA_v-J1V-j35lLIsmT6zbX8qHMwtMpIzNaC2DIiIg4vuQjH1kZoKDbJKQUOODDhB2athOKIESDg3Bp3yzkqYh_R7YBL3lVJEunxGzhETgfpbKWGhPc3W3gg3i79O1lUN_NO4Fh3bGeCufoOWMBSINMX4Iks2LM6JskacAHB9BVI0m5fjhCYYkeCloPgXXKnI0ZxBR41-2N5yMbiXYp4siNyjn5B0S-ak9MT8F4T78ScTEc6BL6_TJvR0ghMkgPWqspTxxrt9idVU0Nyqm5_RrYGxlfWib150ADp1BB-NQ7SH7xNfQuo61K9RWQMQbgATUy77nF0eNtlDa3z0NaWLywZdIwG1f6-VW0znlLcL-jTHv_hDYaeC8pc87uWruJM0L6Gw=&p=6&fvj=0&vjs=3," Technically robust    Sound and defensible    Delivered within required timing    Actionable    Incrementally adds value beyond client’s existing understanding or capability    Bachelor Degree in Math/Statistics, Computer Science, Economics, Industrial Engineering    Master Degree Math/Statistics, Computer Science, Economics, Industrial Engineering    Minimum of 6-8 years of directly related work experience in quantitative analysis with proven results in leveraging customer/transaction to address business objectives through a structured analysis - leading to insights and recommendations. Proven academic background in STEM disciplines    Minimum 2 years of management experience    Experience designing and building automated codes or reporting tools    Highly proficient in SQL    R/Python/Cplex/Gurobi/Matlab knowledge    Experience leading and managing projects, including managing timelines, communication, building project plans, especially involving multiple teams.    Ability to translate business objectives into analytical plan/framework, conducting the analysis and interpreting data to derive insights and interpret results to develop and communicate recommendations to internal teams - and then to clients.    Experience in retail, consumer packaged goods, loyalty programs/CRM, agencies that focus on direct or analytical services is strongly preferred    Excellent ability to be part of multiple projects/initiatives of varying size and complexity, while simultaneously meeting and exceeding deadlines in a diverse environment    Strong communication skills including, written and oral communication.    Self-motivated, ability to work independently    Strong organizational skills"
Data Scientist Junior and Intern,Intelense INC,https://ca.indeed.com/company/Intelense-Inc/jobs/Data-Scientist-Junior-Intern-116aae7b9dbd874d?fccid=fdfba70c0e951899&vjs=3,"Identify valuable data sources and automate collection processes   Undertake preprocessing of structured and unstructured data   Analyze large amounts of information to discover trends and patterns   Build predictive models and machine-learning algorithms   Combine models through ensemble modeling   Present information using data visualization techniques   Propose solutions and strategies to business challenges   Select and use the right tools, frameworks, languages, and technologies for the job, with a preference for open-source solutions   Collaborate with others as part of a cross-functional team that includes user experience researchers and designers, product managers, engineers, and other functional specialist.   Collect and preprocess data as per the requirement of AI team   Collect and find raw data sources from sources as per the requirement of the project   In-depth knowledge of computer science, statistics, and/or mathematics   Experience using advanced statistical and data-mining techniques such as regression, properties of distributions, and statistical tests   Expertise in programming languages/frameworks such as Java/Scala, R, Python, and SQL   Experience with distributed data/computing tools such as Spark, Hadoop, and Hive   Experience using web services such as Redshift and S3   Expertise in machine learning and deep-learning libraries such as Scikit-Learn, TensorFlow, Keras, PyTorch, and Apache Spark MLlib   Experience using business intelligence tools such as Tableau, SAS, Microstrategy, and Looker   Experience working with notebooks such as Jupyter, Zeppelin, and Databricks Notebook   Strong analytical and problem-solving skills   Strong business acumen and curiosity   A drive to learn and master new technologies and techniques   Ability to select and use the right tools for the job, particularly open-source solutions   Ability to communicate clearly to technical and non-technical audiences"
Data Scientist,BFS Capital,https://ca.indeed.com/rc/clk?jk=b89dedae5cb55e0a&fccid=744155da7c59f913&vjs=3,"Participate in advanced modeling projects to predict customer behaviors across the credit lifecycle including originations, portfolio management, collections and recovery   Provide analytic solutions to marketing partners, including customer lifetime value, cross-sell, and response   Continuously evaluate new third-party data sources and make recommendations on data sources to bring into production environments   Work with multiple data sources to continuously improve credit risk predictions, including credit data, internal data, bank transactional data, and alternative data   Master’s or Ph.D. in Data Science, Statistics, Economics, or related quantitative field (e.g. physics or mathematics) or equivalent practical experience   Advance programming knowledge including SQL, R and Python   Ability to collaborate with IT, Marketing and Finance developing, implementing and integrating advanced analytics including machine learning algorithms and artificial intelligence to solve business problems   Experience working with structured and un-structured data   Experience as a data scientist, or model developer, preferably in financial services   Knowledge of personal and commercial credit data, and bank transactional data   Knowledge of alternative data sources including social media   Be part of a dynamic, collaborative, progressive and high-performing team building revolutionary products that matter   Competitive salary and benefits   Continued professional development   Flexible work/life balance options   Casual dress code"
Data Scientist,Prodigy Systems Inc.,https://ca.indeed.com/company/Prodigy-Systems-Inc./jobs/Data-Scientist-faba4982edf3f892?fccid=77e92571fe788dca&vjs=3,Machine Learning: 2 years (Preferred)   R: 3 years (Required)   SQL: 5 years (Required)   Python: 3 years (Required)   RDBMS: 5 years (Required)
