title,company,url,text
UI/UX Designer,Konrad Group,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dezg1wvOJRYj3K_GqvpmKVrStYO07LDtVieyflS_lxO684B0e4SCoodrabP68pA2CKRCWHWV5Opjxvr-JPvkXU_rLSI3ag_5YRqkN5c8RF0t4s5JNqbUx-VezFFEKKgjSUNdiUUYxga3XNpojZYkAUIaRVe8vv1wbFHc96qHGn7gSxQ90240N1RLz6xGuv-YJZsA7kubfK5CqMmuW6ODge83EBZcm7aiRpE5QYpuDDNUmWQM47Bhim5uztA3F7OXbrxmw69o-EFUu7nfJmqXXnFsZ9U4Rp6cArS5NB-oVCmFujajjYyOHH88PzYZYxFwarzRg3zSASSAaaVPi7kC-jmn-mXTfgh4MUeyZR0pAXyuVlrz17QArnTbixcyPQvXafyPLzii_-jzX9gDtQt37V0rsHxQ4sEeZYgF6Dasu6RaBXqXXw6jBwxPJk0WWJy5Bi6ohwcpfPKY0_Tq0StHXfXis8tY5IJGhrbtZqGDQxg4zznkOhxQkpBLebSoAZjud7FYOLln0_tUOlU2u4HshJlF0PFY1i3Gc54ULD-_wIgJr4z6-judR-2_8xVTvRG8w2PIEZcn1AlMDQ-Ry6SK0RgUljAXbInjqJ4MlZ9-ZwF1PlkFshELdNtq5Y_Fhi3lOgGIY_LzNKsexqcByVxPD18Gddb0-MGm2F1R5DnIFiFp9bKdUAubvOdjaRbjqiFZvFB9-DKLf0F4y8_8lYikFo&p=0&fvj=0&vjs=3," Develop a comprehensive understanding of project needs by attending design thinking workshops, performing user research, conducting user tests, and designing rich interactive experiences    Identify areas of opportunities for clients and solve functional challenges through brainstorming, ideating, and designing digital solutions with other members of the team    Work with developers and consultants to understand technology requirements and business objectives as they relate to the designs of the products    Build industry-leading solutions by staying up to date with design best practices and latest technologies    Contribute to Konrad's overall design culture by learning emerging softwares, standards and processes    1-3 years experience in UI and UX design    Strong conceptual thinking and design execution abilities in both visual and interaction design    Intimate knowledge of Sketch, Adobe Creative Suite and prototyping tools    Experience in motion design and web or mobile development is a bonus    Organization, interpersonal and communication skills, with a passion towards the digital space    Flexible Vacation Policy    Health & Wellness Programs    Culture of Learning & Development    Fully-Stocked Kitchens & Lounges    New Shiny Device Upgrades    Monthly Socials & Team Outings"
UI/UX Designer,Rules Cube,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AL23mIPk_4L2gj2Atvan1MyVdnWDnnMRkj0vVIhtAynjnquV3YuYycqN8DigFn02cCFU-Oh2tAjFPl8889N5SpMg9K0zzHriAG58-fIAw7e0YqqA3bqEv65ZVbTmNgCqmOULjOR5VfWYd6B8DP-EBTMVXEGFhfoxz74Spz7qI-4CSI2xsBAHj4Jila1XbuXz5TxMUuUY37fZGODNf_W1bZxNzR1ES7mrw6jqdZwYETaArWqVAUT64e31yPUUqGpGcgxelkWtRDXpN4EQsoMIdm1dcEslkCQSoYCYwA8ffp0sSmU1osZr4Olhl_pId40SEX13bEN-lsFkaWZQiTH6otcPTNWPFUlyr-8k4sEMgapeLAhR0Y2eWGVu9aFDlVvUwCeIoHWIOZ_Upx8KuDMlH_WpcBg2KjlfJpse3jRpyzIkqCchT6yaq3&p=1&fvj=1&vjs=3,"Work closely with product owners, business partners, developers, and data architects to understand business and functional requirements, as well as technical considerations.   Lead the ideation and experience design of complex applications for web and mobile.   Own the creation of consistent experiences across products and platforms through user-centered design processes, including competitor analysis, heuristic evaluations, personas, sitemaps, process flows, wireframes, mock-ups and interactive prototypes.   Collaborate with development teams to ensure the design quality is maintained down the stream.   Present and review designs with developers, product managers, and key stakeholders.   Be able to educate and articulate the thinking & strategy behind your work and design decisions.   Conduct and/or coordinate design walkthroughs, feedback sessions and usability testing to validate proposed design solutions with stakeholders and end users.   Ensure consistency across digital experiences and contribute in growing our library of components, interaction models and style guide.   Advocate for good user experience and design practices within the organization.   3+ years UI/UX Design experience   Must-Have mobile app design experience   Must-Have experience with Retail industry – customer facing products   Masters or bachelor’s degree in Human Factors, HCI (human computer interaction), Design or related fields; OR 4-6 years of experience in designing digital products, preferably mobile apps.   Mastery of Sketch and/or Adobe Creative Suite, along with proficiency in prototyping software (Invision, Axure, Proto.io, etc.)   Ability to plot and map a user journey from product discovery through enrollment, down multiple engagement routes and through to journey completion.   A demonstrable history of applying design thinking tenants and user centered design principles to challenges at work or in everyday life.   Proven experience bringing digital products to life.   A strong portfolio demonstrating a diversity of experience that encompasses UX expertise, interaction design, creativity and critical thinking.   Comfortable working in ambiguity and quickly iterating your way to a well, thought-out solution.   Able to adapt approach and process to fit project goals, timelines and other parameters.   Demonstrated ability to work as part of a highly collaborative team in an agile environment.   Strong understanding of user-centered design practices with a desire to understand the end user.   Solid understanding of front-end development and are comfortable talking to developers about the details of style sheets and CSS implementation.   Deep understanding of mobile-first and responsive design.   UI/UX design: 3 years (Required)   Retail Industry: 3 years (Required)   Mobile App: 3 years (Preferred)   English (Required)"
UI/UX Designer,ASL Consulting,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ajc4Q_Sg0dKjTGgNA02LAryWdDojxA_EwHURciaCsj3clpvOG3HoBuIdJSL_w87_0zx8oPsjBUFHQOcSHIRdh9UwEesk_DRlFrgStM2nPyKGpYvqm1I6jAixENrCChhWmEY0XhbmuNzdfrpFylqnjbrIDcKWK3L5sY5Y6pvwqtWcPK_78DZvp3WUwINd6JpRs7gB9rZd4vNowB4DX6WMR41lt6na9owxjyr1DlyDUngdZn-e75pK4OFBRZ4sGSPd0W74gooaG4TPiRX0qKnxRG3KoSMMTE8U6aT_EZ0PGHJUtxklGOLMFUutmvY3KhdmWbqQvyBz15yRcPyGIvj9QaIq0OitcTc0EXowVWmrinoO9HBKj0w3KryO0Foc3uXlrj9cfte65pmCRKWmGdrpAVlZl6WfxjvtJqx2yYR4_RiMdjASrjiSio&p=2&fvj=1&vjs=3,"Industry leader in the Human Capital Software Industry   Excellent compensation package including Tuition reimbursement   Flexible Schedule   Low turnover   Learn something new everyday   Professional work environment   Design and develop scalable, performant and responsive UI for existing web application   Implement new features by collaboratively working with product managers and other team members   Contribute to the design and development of API gateway layer which can interact with many other micro-services   Actively participate in SCRUM meetings   Minimum of 2 years of experience working with UI design for applications   Good understanding of responsive front-end framework, cross-browser user interfaces / browser limitations, modern web technologies   Strong knowledge of JavaScript, CSS3, HTML5, asynchronous request handling, and AJAX in highly scalable and available applications   Experience building responsive UIs which are optimized for mobile devices   Attention to details and strong commitment to quality   Excellent eye for design. You should know great web UI when you see it, and be able to explain why it's great (even if you didn't create it!)   Working knowledge of XHTML/CSS to be able to create wireframes and mockups   Excellent attention to detail   Excellent communication and organizational skills, must be a team player   Ability to work in a fast-paced environment   Ability to stay focused and deliver on time and on budget   An up-to-date, working knowledge of current, past, and projected trends in the industry   Experience with Agile/Scrum methodology   Web programming skills not necessary but an asset. We are first and foremost looking for an amazing designer that understands modern technologies   Bachelor's degree diploma in computer science or closely related field or equivalent practical experience   Contract 3-6 months   Salary commensurate with experience   English - required, French – would be an asset   Toronto, ON   Permanent   UI/UX design: 2 years (Required)   Bachelor's (Required)   Toronto, ON (Required)"
Intermediate Graphic Designer,Elite Digital Agency,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DjPWoQ341QJUG8msUi9q2wnSSZEPGKcOyCa46T_VVka1wsP6xHuwUmBGRjuX1asTbNkMXLWKM4E5FwuvWxt5yLt7fsA2ze-nfBHjcKoFGlq0riqXx1Z3hfUSVm0OujRzv2bzAw_B6K05ghZVzaaaunscC6_EjGsMOc_m9ekRfXxSUdyUvDwmTGhu4gdCrxKH1DwMWLPYJnKZCz154FzxpysRTPkMNkTYJ-xRaios6PUpclqcwW5ntBWQtrIc0iTgtIpGeQHgTRxADiGDb1DKkumSJIOeV1KTewh6hvkexUn3WPzf8mIu7kaHOwT6LaC5iS5RiDR15BR59C6WH0Jg4i47lNTYYLM5FSdZpfSxDZQaEDAR4xZUesHsRu7pVjs61j1wsxdWVjrL0Mhre2-ljeEPfQLJ2z7ZENQmydMpI3IspckJ7YcKuNCMMKExR-V4VwPhG3ISQdXA==&p=3&fvj=1&vjs=3,"Growth 500, Canada's Fastest Growing Companies 2018 (#87), Canadian Business   Business Excellence Award, Toronto Board of Trade   Best Consumer Website, Summit International Awards   Best Consumer Micro-site, Summit International Awards   Best Rebranding, Summit International Awards   Top 50 Email Service Providers, Website Magazine   Canada’s Top 300 IT Companies, Backbone Magazine   Responsible for creating visual development and executing ideas and designs for agency clients that are responsive to marketing/creative objectives and strategies   Ensure designs follow project schedules, quality standards and adhere to an assigned timelines   Provide quality control, ensuring all client deliverables meet our high design standards and align with the client’s vision   Working collaboratively with our Art/Creative direction teams on all aspects of design projects from initial ideation through to final implementation/deliverable handoff   Post secondary degree or diploma in Graphic Design, Web Design or related field   Certificate or courses in UX/UI Design an asset   5+ years of experience in graphic design with a focus on creating visuals that translate well in print and web.   Advanced knowledge in Adobe CC with a core focus on InDesign, Illustrator and Photoshop   Advanced knowledge of Sketch   Advanced Knowledge of Invision   Knowledgeable in creating visual designs that are responsive and mobile friendly   1+ year of working knowledge and understanding of UX/UI strategies and processes   Must be detail oriented, have exceptional organizational skills and multitasking capabilities   Ability to solve problems creatively and effectively   Basic understanding of HTML, CSS, Javascript and CMS an asset   Up-to-date with the latest Web Design trends, techniques and technologies   We offer full health benefits (after the initial 3 months)   Opportunity to grow your career in a thriving Digital Marketing Agency   Free gourmet coffee   Free snacks & monthly catered lunches   Company social events   Flexible working hours   Opportunity to attend conferences and events   UI/UX: 1 year (Preferred)   Graphic Design: 5 years (Preferred)"
Senior UI/UX Designer,Konrad Group,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dezg1wvOJRYj3K_GqvpmKVrStYO07LDtVieyflS_lxO684B0e4SCoodrabP68pA2AZH7DcNnB5Ng-QbQz-_RBm-fg2DMZuhshEtuppE0024V4gXEuGJGLwdKHUiS4JJgIT8AL6_7gnMdFC3VoELDMwhm5aVGh-RYEW-bUDnqV5aLhZxzmXcxk4HVUZwm4-1jL8TzBnIWV6xABAjzEChMoZwovp5xRIAIap-Im0rTXrCj4dEDisfkSDw4vK0KJNasoQCOpyqnebGXDVdXkDOhlw4x1i_nUZ9T2DCNxBW2rUCeOuHV9To9iEGp969VNc6S53Y8P8CJhZEilomY_u3V6SNAsEzBCrSisJUfrxyB8Gkk0OfGI_WtA3XBcqzn12pYaTqoXzhIWNtGbqiftswede9_hLrG2Vh8764Mia9KgojcOPGrrduuknKkWNTaH1YJm48jjcsUtJNRgqZ5YQQlFaoX5MlFm4HI81k0K4PMZTNOzk3dbav4IPPc-IvjmdETZJEkrGdHnurSBglcL2-uKccp78lj6QHaksW4Mtz0O6YPU9uGb8I0LPy7akeeJAmWPxkMOnaEO5OvaXgJnfW2fAir0RX9hAdIAHCn1_h06AjwnduTHRMF-r&p=4&fvj=0&vjs=3," Lead design research, ideation and creation of digital interfaces across multiple platforms and devices    Facilitate discussions and design thinking / feedback sessions with clients and project stakeholders    Ensure successful delivery of multiple projects by managing design deliverables and timelines    Mentor designers by providing clear design guidance and actionable suggestions    Inspire all members of the creative team by fostering a culture of constant learning and professional growth    Minimum of 3 years experience in leading UI and UX design    Solid understanding of creating user-centered experiences with complex requirements    Driven to innovate and lead creative workflows and processes for the team    Excellent communication and presentation skills    Proficient knowledge of Sketch, Adobe Creative Suite and prototyping tools    Expertise in motion design and web or mobile development is a bonus    Flexible Vacation Policy    Health & Wellness Programs    Culture of Learning & Development    Fully-Stocked Kitchens & Lounges    New Shiny Device Upgrades    Monthly Socials & Team Outings"
User Experience Designer,Geek Power Web Design,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BBTdVkdA6KJQmf2FIwBw8LUwKdLHtzd17369H5OGl5D14zdeAMJZ-Qb_1E8apebHHQyCULaZke_n_NzQCDN-UZWfS0jwYv0KmgEtriV_9q8Vr7RI7ATC_OKAZ_ZyKK4ycBfPqWpDB1jg1lp1XMVFXFPsDZNSUyPcsW9POihIajMMuQAmFrtsjqP0oqYxZU9hqe4llrjjrtBSQ6y_0plL97NvOlGGOIXEYj2GQbMa0BIriY33QAtpLMeuxBW9dMlNGhZKZCnQPA6LzjixMc-K3XYVIz5NsI21yI33Uhd578gpEohh1ngon8kwvCE17bw-jSpBtRmiY7tXOe7dwM5BG3yGujE1N6trTwgYLqFTNkVlo7weuYpdPAnk8FnmmEYK1hjGkoYCXVgm4oHnI-JB-QmDZbpFSLaf6pmeslkY0dPJUGJuXa6FfXTQYObXwyX2c=&p=5&fvj=1&vjs=3,"Ensure that established design standards are consistently and appropriately applied within design work   Engage with product management, engineering, business stakeholders, and third-party vendors to understand the project   Develop and present documentation, user flows, annotated wireframes, and interactive prototypes   Leverage user testing make product improvements   Front End Development of solutions   Code with latest ES6 JavaScript   React.js (with Redux and React Router)   Less   NPM / Webpack / Grunt   GIT   3+ years' of experience in UI/UX Design   Proficient in visual design and wireframing tools   Ability to develop front end solutions of designs   UX Design: 2 years (Preferred)   Front End Development: 2 years (Preferred)"
UI Designer,ISDOP Inc.,https://ca.indeed.com/company/ISDOP-Inc./jobs/Ui-Designer-22e93ff5ba608a61?fccid=b5ab310904293332&vjs=3,
UX designer,Algorithmic Mind Inc,https://ca.indeed.com/company/Algorithmic-Mind-Inc/jobs/Ux-Designer-3a0c2d896f727e3f?fccid=7f386866e0795709&vjs=3,2 years experience in web design is a must   Showcase of previous projects is a must
UI/UX Designer,Team Study,https://ca.indeed.com/company/Team-Study/jobs/Ui-Ux-Designer-cef5fdd411ee0f8a?fccid=c78307debd2af965&vjs=3,"Experience with UI / UX design for web and mobile applications   Understanding of data-driven design   Experience with Sketch or Figma, and creating responsive components and design systems   UI / UX Design: 3 years (Preferred)   Figma: 1 year (Preferred)   English (Required)"
UI & UX Designer,Fivewalls,https://ca.indeed.com/company/fivewalls-Realty/jobs/Ui-Ux-Designer-e66d966f902c0514?fccid=861b8536f2230208&vjs=3,"Improve website key performance metrics and ideas faults in the current user experience.   Optimize website conversion of traffic into customers.   Develop user flows, wireframes, interactions and prototypes to communicate the design of a customer experience   Recommend new approaches to digital applications, based on data-driven insights provided by the development team   Build prototypes for the purposes of conveying interactions to clients and development team and for usability testing   Participate in client workshops to help frame problems, build insights and identify user experience opportunities and solutions   Define user experience design goals and design principles   Coordinate with the development team with creating new landing pages for various ad campaigns.   Analyze website performance and make recommendations to improve as necessary.   Present recommendations to the Director of Operations.   3+ years professional design experience   Bachelor's degree preferred in any of the following: Human Factors, Cognitive or Experimental Psychology, Information Architecture, New Media Design, Product and Interface Design or related field   A strong portfolio showcasing your UI skills and understanding of user flows   Mastery of Sketch and/or Adobe Creative Suite, along with proficiency in prototyping software (Invision, Axure, Proto.io, etc.)   Experience working in startup is a plus!   In depth knowledge of on-page and off-page SEO   Basic HTML/CSS is a plus!   Email marketing design   You think outside the box and can come at a problem from unique angles   You are comfortable working in a mobile first agile environment and an advocate of lean UX and Design Thinking principles   You have a proven ability to develop simple, beautiful, modern user interfaces & visual designs on mobile, desktop and tablet   You have previous experience in either developing wireframes, prototypes and information architectures, or creating customer experiences from concept to design   You demonstrate a good understanding of the technical implementation of your designs and user-flows   You have a resilient, entrepreneurial spirit: not afraid to try many things and learn from previous attempts.   Strong collaboration and communication skills and the ability to clearly articulate your design concepts   You have a great attention to detail   Bonus! You have experience working in a start-up, small company or agency environment   This position will be based in the downtown Toronto office. We are located at Bay/Adelaide.   This is a 3-month contract with the potential of a full-time opportunity depending on performance.   Base salary and competitive bonuses based on performance.   Ux Design: 3 years (Required)"
